WC,wc
IM,im
IL,il
IO,io
IN,in
IA,ia
VY,vy
IC,ic
IB,ib
IE,ie
ID,id
IG,ig
IF,if
BD,bd
BE,be
BF,bf
BG,bg
BA,ba
BB,bb
BC,bc
BL,bl
BM,bm
BN,bn
BO,bo
BH,bh
BI,bi
BJ,bj
BK,bk
BT,bt
BU,bu
BV,bv
BW,bw
BP,bp
BQ,bq
BR,br
BS,bs
BX,bx
BY,by
BZ,bz
OO,oo
ON,on
OM,om
OL,ol
OK,ok
OJ,oj
OI,oi
OH,oh
OG,og
OF,of
OE,oe
OD,od
OC,oc
OB,ob
OA,oa
OZ,oz
OY,oy
OX,ox
OW,ow
OV,ov
OU,ou
OT,ot
OS,os
OR,or
OQ,oq
OP,op
HZ,hz
HX,hx
HY,hy
HR,hr
HS,hs
HP,hp
HQ,hq
HV,hv
HW,hw
HT,ht
HU,hu
HJ,hj
HK,hk
HH,hh
HI,hi
HN,hn
HO,ho
HL,hl
HM,hm
HB,hb
HC,hc
HA,ha
HF,hf
HG,hg
HD,hd
HE,he
UY,uy
UX,ux
UZ,uz
UU,uu
UT,ut
UW,uw
UV,uv
UQ,uq
UP,up
US,us
UR,ur
UM,um
UL,ul
UO,uo
UN,un
UI,ui
UH,uh
UK,uk
UJ,uj
UE,ue
UD,ud
UG,ug
UF,uf
UA,ua
UC,uc
UB,ub
NH,nh
NI,ni
NJ,nj
NK,nk
NL,nl
NM,nm
NN,nn
NO,no
NA,na
NB,nb
NC,nc
ND,nd
NE,ne
NF,nf
NG,ng
NX,nx
NY,ny
NZ,nz
NP,np
NQ,nq
NR,nr
NS,ns
NT,nt
NU,nu
NV,nv
NW,nw
VN,vn
TZ,tz
TX,tx
TY,ty
TV,tv
TW,tw
TT,tt
TU,tu
TR,tr
TS,ts
TP,tp
TQ,tq
TN,tn
TO,to
TL,tl
TM,tm
TJ,tj
TK,tk
TH,th
TI,ti
TF,tf
TG,tg
TD,td
TE,te
TB,tb
TC,tc
TA,ta
AA,aa
AC,ac
AB,ab
AE,ae
AD,ad
AG,ag
AF,af
AI,ai
AH,ah
AK,ak
AJ,aj
AM,am
AL,al
AO,ao
AN,an
AQ,aq
AP,ap
AS,as
AR,ar
AU,au
AT,at
AW,aw
AV,av
AY,ay
AX,ax
AZ,az
VK,vk
